column_name;type;example_value
Site ID;integer;23578901
Brand ID;integer;26419574
Product ID;integer;167836
Price;float;189.25
Stock;integer;200
Discount;float;18.75
Product release;date;02/16/2022
Product expiration;date;Monday 1 January 2029 00:00:00
Discount expiration;date;Thursday 14 July 2022 00:00:00
Name;text;Techilog Wireless Keyboard
Brand;text;Techilog
Tags;text;techilog, keyboard, wireless
Category;text;keyboard
Description;text;Techilog advanced 2.4 GHz wireless connectivity gives you the reliability of a cord plus wireless convenience and freedom—fast data transmission, virtually no delays or dropouts, and wireless encryption.
Comments;text;Quantity paddle on both Techilog vertical integration work flows. Quarterly sales are at an all-time low rehydrate the team exposing new ways to evolve our design language 4-blocker and conversational banana, show pony sorry i was triple muted. Pull in ten extra bodies to help roll the tortoise. Copy and paste from stack overflow we don't need to boil the ocean here prairie dogging, for waste of resources, or on this journey for incentivize adoption. Tribal knowledge window of opportunity.